CODE*COMPLETO*DESCRIPCION1*DESCRIPCION2
M1A3711*1*Chronic gout due to renal impairment, right ank/ft, w toph*Gota crónica debida a insuficiencia renal, tobillo y pie derechos, con tofos (tofos)
Z96653*1*Presence of artificial knee joint, bilateral*Presencia de articulación de rodilla artificial, bilateral
Z96659*1*Presence of unspecified artificial knee joint*Presencia de articulación de rodilla artificial no especificada
Z9666*0*Presence of artificial ankle joint*Presencia de articulación de tobillo artificial
Z96661*1*Presence of right artificial ankle joint*Presencia de articulación del tobillo artificial derecho
Z96662*1*Presence of left artificial ankle joint*Presencia de articulación del tobillo artificial izquierdo
Z96669*1*Presence of unspecified artificial ankle joint*Presencia de articulación de tobillo artificial no especificada
Z9669*0*Presence of other orthopedic joint implants*Presencia de otros implantes articulares ortopédicos
Z96691*1*Finger-joint replacement of right hand*Reemplazo de la articulación del dedo de la mano derecha
Z96692*1*Finger-joint replacement of left hand*Reemplazo de la articulación del dedo de la mano izquierda
Z96693*1*Finger-joint replacement, bilateral*Reemplazo de articulaciones de dedos, bilateral
Z3801*1*Single liveborn infant, delivered by cesarean*Recién nacido vivo único, entregado por cesárea
Z4402*0*Encounter for fit/adjst of partial artificial arm*Encuentro para colocación y ajuste de brazo artificial parcial
Z44021*1*Encounter for fit/adjst of partial artificial right arm*Encuentro para colocación y ajuste de brazo derecho artificial parcial
Z44022*1*Encounter for fit/adjst of partial artificial left arm*Encuentro para colocación y ajuste de brazo izquierdo artificial parcial
Z44029*1*Encounter for fit/adjst of partial artificial arm, unsp arm*Contacto para colocación y ajuste de brazo artificial parcial, brazo no especificado
Z441*0*Encounter for fitting and adjustment of artificial leg*Encuentro para colocación y ajuste de pierna artificial
Z4410*0*Encounter for fitting and adjustment of unsp artificial leg*Contacto para colocación y ajuste de pierna artificial no especificada
Z44101*1*Encounter for fit/adjst of unsp right artificial leg*Contacto para colocación y ajuste de pierna artificial derecha no especificada
Z44102*1*Encounter for fit/adjst of unsp left artificial leg*Contacto para colocación y ajuste de pierna artificial izquierda no especificada
Z44109*1*Encounter for fit/adjst of unsp artificial leg, unsp leg*Contacto para colocación y ajuste de pierna artificial no especificada, pierna no especificada
Z4411*0*Encounter for fit/adjst of complete artificial leg*Encuentro para colocación y ajuste de pierna artificial completa
Z44111*1*Encounter for fit/adjst of complete right artificial leg*Encuentro para colocación y ajuste de pierna artificial derecha completa
Z44112*1*Encounter for fit/adjst of complete left artificial leg*Encuentro para colocación y ajuste de pierna artificial izquierda completa
Z44119*1*Encounter for fit/adjst of complete artificial leg, unsp leg*Contacto para colocación y ajuste de pierna artificial completa, pierna no especificada
Z4412*0*Encounter for fit/adjst of partial artificial leg*Encuentro para colocación y ajuste de pierna artificial parcial
Z44121*1*Encounter for fit/adjst of partial artificial right leg*Encuentro para colocación y ajuste de pierna derecha artificial parcial
Z44122*1*Encounter for fit/adjst of partial artificial left leg*Encuentro para colocación y ajuste de pierna izquierda artificial parcial
Z44129*1*Encounter for fit/adjst of partial artificial leg, unsp leg*Contacto para colocación y ajuste de pierna artificial parcial, pierna no especificada
Z442*0*Encounter for fitting and adjustment of artificial eye*Encuentro para colocación y ajuste de ojo artificial
Z4420*1*Encounter for fitting and adjustment of artificial eye, unsp*Contacto para colocación y ajuste de ojo artificial, no especificado
Z4421*1*Encounter for fitting and adjustment of artificial right eye*Encuentro para colocación y ajuste de ojo derecho artificial
Z4422*1*Encounter for fitting and adjustment of artificial left eye*Encuentro para colocación y ajuste de ojo izquierdo artificial
Z443*0*Encounter for fit/adjst of external breast prosthesis*Encuentro para colocación y ajuste de prótesis mamarias externas
Z4430*1*Encntr for fit/adjst of external breast prosth, unsp breast*Contacto para colocación y ajuste de prótesis mamarias externas, mama no especificada
Z4431*1*Encounter for fit/adjst of external right breast prosthesis*Encuentro para colocación y ajuste de prótesis mamaria externa derecha
Z4432*1*Encounter for fit/adjst of external left breast prosthesis*Encuentro para colocación y ajuste de prótesis mamaria externa izquierda
Z448*1*Encounter for fit/adjst of external prosthetic devices*Encuentro para la colocación y ajuste de otros dispositivos protésicos externos
Z449*1*Encounter for fit/adjst of unsp external prosthetic device*Contacto para colocación y ajuste de dispositivo protésico externo no especificado
Z45*0*Encounter for adjustment and management of implanted device*Encuentro para ajuste y manejo de dispositivo implantado
Z450*0*Encounter for adjustment and management of cardiac device*Encuentro para ajuste y manejo de dispositivo cardíaco
Z4501*0*Encounter for adjustment and management of cardiac pacemaker*Encuentro para ajuste y manejo de marcapasos cardíaco
Z45010*1*Encntr for checking and test of card pacemaker pulse gnrtr*Encuentro para verificación y prueba del generador de impulsos de marcapasos cardíaco [batería]
Z45018*1*Encounter for adjust and mgmt oth prt cardiac pacemaker*Contacto para ajuste y manejo de otra parte del marcapasos cardíaco
Z4502*1*Encntr for adjust and mgmt of automatic implntbl card defib*Encuentro para ajuste y manejo de desfibrilador cardíaco implantable automático
Z4509*1*Encounter for adjustment and management of cardiac device*Encuentro para ajuste y manejo de otro dispositivo cardíaco
Z451*1*Encounter for adjustment and management of infusion pump*Encuentro para ajuste y manejo de bomba de infusión
Z452*1*Encounter for adjustment and management of VAD*Encuentro para ajuste y manejo de dispositivo de acceso vascular
Z453*0*Encntr for adjust and mgmt of implnt dev of the specl senses*Encuentro para ajuste y manejo de dispositivos implantados de los sentidos especiales
Z4531*1*Encntr for adjust and mgmt of implnt visual substitution dev*Encuentro para ajuste y manejo de dispositivo de sustitución visual implantado
Z4532*0*Encounter for adjust and management of implanted hear dev*Encuentro para ajuste y manejo de audífono implantado
Z45320*1*Encounter for adjust and mgmt of bone conduction device*Encuentro para ajuste y manejo de dispositivo de conducción ósea
Z45321*1*Encounter for adjustment and management of cochlear device*Encuentro para ajuste y manejo de dispositivo coclear
Z45328*1*Encounter for adjust and management of implanted hear dev*Encuentro para ajuste y manejo de otro dispositivo auditivo implantado
Z454*0*Encntr for adjust and mgmt of implanted nervous sys device*Encuentro para ajuste y manejo de dispositivo implantado del sistema nervioso
Z4541*1*Encounter for adjustment and management of CSF drain dev*Encuentro para ajuste y manejo de dispositivo de drenaje de líquido cefalorraquídeo
Z4542*1*Encounter for adjust and mgmt of neuropacemaker (brain)*Encuentro para el ajuste y manejo del neuropaciador (cerebro) (nervio periférico) (médula espinal)
Z4549*1*Encntr for adjust and mgmt of implanted nervous sys device*Encuentro para ajuste y manejo de otro dispositivo del sistema nervioso implantado
Z458*0*Encounter for adjustment and management of implanted devices*Encuentro para ajuste y manejo de otros dispositivos implantados
Z4581*0*Encounter for adjustment or removal of breast implant*Encuentro para ajuste o extracción de implante mamario
Z45811*1*Encounter for adjustment or removal of right breast implant*Encuentro para ajuste o extracción del implante mamario derecho
Z45812*1*Encounter for adjustment or removal of left breast implant*Encuentro para ajuste o extracción de implante mamario izquierdo
Z96698*1*Presence of other orthopedic joint implants*Presencia de otros implantes articulares ortopédicos
Z967*1*Presence of other bone and tendon implants*Presencia de otros implantes de huesos y tendones
Z968*0*Presence of other specified functional implants*Presencia de otros implantes funcionales especificados
Z9681*1*Presence of artificial skin*Presencia de piel artificial
Z9689*1*Presence of other specified functional implants*Presencia de otros implantes funcionales especificados
Z969*1*Presence of functional implant, unspecified*Presencia de implante funcional, no especificado
Z97*0*Presence of other devices*Presencia de otros dispositivos
Z970*1*Presence of artificial eye*Presencia de ojo artificial
Z971*0*Presence of artificial limb (complete) (partial)*Presencia de prótesis (completa) (parcial)
Z9710*1*Presence of artificial limb (complete) (partial), unsp*Presencia de miembro artificial (completo) (parcial), no especificado
Z9711*1*Presence of artificial right arm (complete) (partial)*Presencia de brazo derecho artificial (completo) (parcial)
Z9712*1*Presence of artificial left arm (complete) (partial)*Presencia de brazo izquierdo artificial (completo) (parcial)
Z9713*1*Presence of artificial right leg (complete) (partial)*Presencia de pierna derecha artificial (completa) (parcial)
Z9714*1*Presence of artificial left leg (complete) (partial)*Presencia de pierna izquierda artificial (completa) (parcial)
Z9715*1*Presence of artificial arms, bilateral (complete) (partial)*Presencia de brazos artificiales, bilateral (completa) (parcial)
Z9716*1*Presence of artificial legs, bilateral (complete) (partial)*Presencia de piernas artificiales, bilateral (completa) (parcial)
Z972*1*Presence of dental prosthetic device (complete) (partial)*Presencia de dispositivo protésico dental (completo) (parcial)
Z973*1*Presence of spectacles and contact lenses*Presencia de gafas y lentillas
Z974*1*Presence of external hearing-aid*Presencia de audífono externo
Z975*1*Presence of (intrauterine) contraceptive device*Presencia de dispositivo anticonceptivo (intrauterino)
Z978*1*Presence of other specified devices*Presencia de otros dispositivos especificados
Z98*0*Other postprocedural states*Otros estados posteriores al procedimiento
Z980*1*Intestinal bypass and anastomosis status*Estado de bypass y anastomosis intestinal
Z981*1*Arthrodesis status*Estado de artrodesis
Z982*1*Presence of cerebrospinal fluid drainage device*Presencia de dispositivo de drenaje de líquido cefalorraquídeo
Z983*1*Post therapeutic collapse of lung status*Colapso posterapéutico del estado pulmonar
Z984*0*Cataract extraction status*Estado de extracción de cataratas
Z9841*1*Cataract extraction status, right eye*Estado de extracción de cataratas, ojo derecho
Z9842*1*Cataract extraction status, left eye*Estado de extracción de cataratas, ojo izquierdo
Z9849*1*Cataract extraction status, unspecified eye*Estado de extracción de cataratas, ojo no especificado
Z985*0*Sterilization status*Estado de esterilización
Z9851*1*Tubal ligation status*Estado de la ligadura de trompas
Z9852*1*Vasectomy status*Estado de la vasectomía
Z986*0*Angioplasty status*Estado de la angioplastia
Z9861*1*Coronary angioplasty status*Estado de la angioplastia coronaria
Z9862*1*Peripheral vascular angioplasty status*Estado de angioplastia vascular periférica
Z988*0*Other specified postprocedural states*Otros estados posprocedimiento especificados
Z9881*0*Dental procedure status*Estado del procedimiento dental
Z98810*1*Dental sealant status*Estado del sellador dental
Z98811*1*Dental restoration status*Estado de restauración dental
Z98818*1*Other dental procedure status*Otro estado de procedimiento dental
Z9882*1*Breast implant status*Estado de los implantes mamarios
Z9883*1*Filtering (vitreous) bleb after glaucoma surgery status*Ampolla filtrante (vítrea) después del estado de cirugía de glaucoma
Z9884*1*Bariatric surgery status*Estado de la cirugía bariátrica
Z9885*1*Transplanted organ removal status*Estado de extracción de órganos trasplantados
Z9886*1*Personal history of breast implant removal*Antecedentes personales de extracción de implantes mamarios
Z9887*0*Personal history of in utero procedure*Historia personal de procedimiento en el útero
Z98870*1*Personal history of in utero procedure during pregnancy*Antecedentes personales de procedimientos intrauterinos durante el embarazo
Z98871*1*Personal history of in utero procedure while a fetus*Antecedentes personales de procedimientos en el útero durante la gestación.
Z9889*0*Other specified postprocedural states*Otros estados posprocedimiento especificados
Z98890*1*Other specified postprocedural states*Otros estados posprocedimiento especificados
Z98891*1*History of uterine scar from previous surgery*Historia de cicatriz uterina de cirugía previa.
Z99*0*Dependence on enabling machines and devices, NEC*Dependencia de máquinas y dispositivos habilitantes, no clasificados en otra parte
Z990*1*Dependence on aspirator*Dependencia del aspirador
Z991*0*Dependence on respirator*Dependencia del respirador
Z9911*1*Dependence on respirator [ventilator] status*Dependencia del estado del respirador [ventilador]
Z9912*1*Encounter for respirator dependence during power failure*Encuentro por dependencia del respirador [ventilador] durante un corte de energía
Z992*1*Dependence on renal dialysis*Dependencia de la diálisis renal
Z993*1*Dependence on wheelchair*Dependencia de la silla de ruedas
Z998*0*Dependence on other enabling machines and devices*Dependencia de otras máquinas y dispositivos habilitadores
Z9981*1*Dependence on supplemental oxygen*Dependencia del oxígeno suplementario
Z9989*1*Dependence on other enabling machines and devices*Dependencia de otras máquinas y dispositivos habilitadores
Z45819*1*Encounter for adjustment or removal of unsp breast implant*Contacto para ajuste o extracción de implante mamario no especificado
Z4582*1*Encntr for adjust or removal of myringotomy device (tube)*Contacto para ajuste o extracción de dispositivo de miringotomía (stent) (tubo)
Z4589*1*Encounter for adjustment and management of implanted devices*Encuentro para ajuste y manejo de otros dispositivos implantados
Z459*1*Encounter for adjust and management of unsp implanted device*Contacto para ajuste y manejo de dispositivo implantado no especificado
Z46*0*Encounter for fitting and adjustment of other devices*Encuentro para el montaje y ajuste de otros dispositivos
Z460*1*Encounter for fit/adjst of spectacles and contact lenses*Encuentro para ajuste y ajuste de gafas y lentillas
Z461*1*Encounter for fitting and adjustment of hearing aid*Encuentro para adaptación y ajuste de audífonos
Z462*1*Encntr for fit/adjst of dev rel to nrv sys and specl senses*Encuentro para el montaje y ajuste de otros dispositivos relacionados con el sistema nervioso y los sentidos especiales.
Z463*1*Encounter for fit/adjst of dental prosthetic device*Encuentro para colocación y ajuste de prótesis dental
Z464*1*Encounter for fitting and adjustment of orthodontic device*Encuentro para colocación y ajuste de dispositivo de ortodoncia
Z465*0*Encounter for fit/adjst of GI appliance and device*Contacto para colocación y ajuste de otro aparato y dispositivo gastrointestinal
Z4651*1*Encounter for fitting and adjustment of gastric lap band*Encuentro para colocación y ajuste de la banda gástrica
Z4659*1*Encounter for fit/adjst of GI appliance and device*Contacto para colocación y ajuste de otro aparato y dispositivo gastrointestinal
Z466*1*Encounter for fitting and adjustment of urinary device*Encuentro para colocación y ajuste de dispositivo urinario
Z468*0*Encounter for fitting and adjustment of oth devices*Encuentro para instalación y ajuste de otros dispositivos especificados
Z4681*1*Encounter for fitting and adjustment of insulin pump*Encuentro para instalación y ajuste de bomba de insulina
Z4682*1*Encounter for fit/adjst of non-vascular catheter*Encuentro para colocación y ajuste de catéter no vascular
Z4689*1*Encounter for fitting and adjustment of oth devices*Encuentro para instalación y ajuste de otros dispositivos especificados
Z469*1*Encounter for fitting and adjustment of unspecified device*Encuentro para colocación y ajuste de dispositivo no especificado
Z47*0*Orthopedic aftercare*Cuidados posteriores ortopédicos
Z471*1*Aftercare following joint replacement surgery*Cuidados posteriores a la cirugía de reemplazo articular
Z472*1*Encounter for removal of internal fixation device*Encuentro para retirar el dispositivo de fijación interno
Z473*0*Aftercare following explantation of joint prosthesis*Cuidados posteriores a la explantación de una prótesis articular
Z4731*1*Aftercare following explantation of shoulder jt prosthesis*Cuidados posteriores a la explantación de la prótesis de la articulación del hombro
Z4732*1*Aftercare following explantation of hip joint prosthesis*Cuidados posteriores a la explantación de una prótesis de articulación de cadera
Z4733*1*Aftercare following explantation of knee joint prosthesis*Cuidados posteriores a la explantación de una prótesis de rodilla
Z478*0*Encounter for other orthopedic aftercare*Contacto para otros cuidados posteriores ortopédicos
Z4781*1*Encounter for orthopedic aftercare following surgical amp*Contacto para cuidados ortopédicos posteriores a una amputación quirúrgica
Z4782*1*Encounter for orth aftercare following scoliosis surgery*Contacto para cuidados ortopédicos posteriores a una cirugía de escoliosis
Z4789*1*Encounter for other orthopedic aftercare*Contacto para otros cuidados posteriores ortopédicos
Z48*0*Encounter for other postprocedural aftercare*Contacto para otro cuidado posterior posprocedimiento
Z480*0*Encounter for attention to dressings, sutures and drains*Contacto para atención de apósitos, suturas y drenajes
Z4800*1*Encounter for change or removal of nonsurg wound dressing*Contacto para cambiar o retirar un apósito para heridas no quirúrgico
Z4801*1*Encounter for change or removal of surgical wound dressing*Contacto para cambio o retirada de vendaje para heridas quirúrgicas
Z4802*1*Encounter for removal of sutures*Encuentro para remoción de suturas
Z4803*1*Encounter for change or removal of drains*Encuentro para cambio o remoción de desagües
Z481*1*Encounter for planned postprocedural wound closure*Contacto para el cierre planificado de la herida posprocedimiento
Z482*0*Encounter for aftercare following organ transplant*Contacto para cuidados posteriores al trasplante de órganos
Z4821*1*Encounter for aftercare following heart transplant*Contacto para cuidados posteriores a un trasplante de corazón
Z4822*1*Encounter for aftercare following kidney transplant*Contacto para cuidados posteriores a un trasplante de riñón
Z4823*1*Encounter for aftercare following liver transplant*Contacto para cuidados posteriores a un trasplante de hígado
Z4824*1*Encounter for aftercare following lung transplant*Contacto para cuidados posteriores a un trasplante de pulmón
Z4828*0*Encounter for aftercare following multiple organ transplant*Contacto para cuidados posteriores a un trasplante de órganos múltiples
Z48280*1*Encounter for aftercare following heart-lung transplant*Contacto para cuidados posteriores a un trasplante de corazón-pulmón
Z48288*1*Encounter for aftercare following multiple organ transplant*Contacto para cuidados posteriores a un trasplante de órganos múltiples
Z4829*0*Encounter for aftercare following other organ transplant*Contacto para cuidados posteriores a un trasplante de otro órgano
Z48290*1*Encounter for aftercare following bone marrow transplant*Contacto para cuidados posteriores tras un trasplante de médula ósea
Z48298*1*Encounter for aftercare following other organ transplant*Contacto para cuidados posteriores a un trasplante de otro órgano
Z483*1*Aftercare following surgery for neoplasm*Cuidados posteriores a una cirugía por neoplasia
Z488*0*Encounter for other specified postprocedural aftercare*Contacto para otro cuidado posterior posprocedimiento especificado
Z4881*0*Encntr for surgical aftcr fol surgery on spcf body systems*Contacto para cuidados posteriores quirúrgicos después de una cirugía en sistemas corporales específicos
Z48810*1*Encntr for surgical aftcr fol surgery on the sense organs*Encuentro para cuidados posteriores quirúrgicos después de una cirugía en los órganos de los sentidos
Z48811*1*Encntr for surgical aftcr fol surgery on the nervous sys*Encuentro para postratamiento quirúrgico tras cirugía en el sistema nervioso
Z48812*1*Encntr for surgical aftcr following surgery on the circ sys*Encuentro para postratamiento quirúrgico tras cirugía en el sistema circulatorio
Z48813*1*Encntr for surgical aftcr following surgery on the resp sys*Encuentro para postratamiento quirúrgico tras cirugía en el sistema respiratorio
Z48814*1*Encntr for surg aftcr fol surg on the teeth or oral cavity*Encuentro para cuidados posteriores quirúrgicos después de una cirugía en los dientes o la cavidad oral
Z48815*1*Encntr for surgical aftcr following surgery on the dgstv sys*Encuentro para postratamiento quirúrgico tras cirugía en el sistema digestivo
Z48816*1*Encounter for surgical aftcr following surgery on the GU sys*Encuentro para postratamiento quirúrgico tras cirugía del aparato genitourinario
Z48817*1*Encntr for surgical aftcr fol surgery on the skin, subcu*Encuentro para el postratamiento quirúrgico después de una cirugía en la piel y el tejido subcutáneo
Z4889*1*Encounter for other specified surgical aftercare*Contacto para otros cuidados posteriores quirúrgicos especificados
Z49*0*Encounter for care involving renal dialysis*Contacto para recibir atención que involucre diálisis renal
Z490*0*Preparatory care for renal dialysis*Cuidados preparatorios para diálisis renal
Z4901*1*Encounter for fit/adjst of extracorporeal dialysis catheter*Encuentro para colocación y ajuste de catéter de diálisis extracorpóreo
Z4902*1*Encounter for fit/adjst of peritoneal dialysis catheter*Contacto para colocación y ajuste de catéter de diálisis peritoneal
Z493*0*Encounter for adequacy testing for dialysis*Encuentro para pruebas de adecuación para diálisis
Z4931*1*Encounter for adequacy testing for hemodialysis*Encuentro para pruebas de adecuación para hemodiálisis
Z4932*1*Encounter for adequacy testing for peritoneal dialysis*Contacto para pruebas de adecuación para diálisis peritoneal
Z51*0*Encounter for other aftercare and medical care*Encuentro para otros cuidados posteriores y atención médica
Z510*1*Encounter for antineoplastic radiation therapy*Contacto para radioterapia antineoplásica
Z511*0*Encounter for antineoplastic chemotherapy and immunotherapy*Encuentro para quimioterapia e inmunoterapia antineoplásicas
Z5111*1*Encounter for antineoplastic chemotherapy*Contacto para quimioterapia antineoplásica
Z5112*1*Encounter for antineoplastic immunotherapy*Contacto para inmunoterapia antineoplásica
Z515*1*Encounter for palliative care*Encuentro para cuidados paliativos
Z516*1*Encounter for desensitization to allergens*Encuentro por desensibilización a alérgenos
Z518*0*Encounter for other specified aftercare*Contacto para otro cuidado posterior especificado
Z5181*1*Encounter for therapeutic drug level monitoring*Encuentro para seguimiento del nivel de fármaco terapéutico
Z5189*1*Encounter for other specified aftercare*Contacto para otro cuidado posterior especificado
Z52*0*Donors of organs and tissues*Donantes de órganos y tejidos
Z520*0*Blood donor*Donador de sangre
Z5200*0*Unspecified blood donor*Donante de sangre no especificado
Z52000*1*Unspecified donor, whole blood*Donante no especificado, sangre completa
Z52001*1*Unspecified donor, stem cells*Donante no especificado, células madre
Z52008*1*Unspecified donor, other blood*Donante no especificado, otra sangre
Z5201*0*Autologous blood donor*Donante de sangre autólogo
Z52010*1*Autologous donor, whole blood*Donante autólogo, sangre completa
Z52011*1*Autologous donor, stem cells*Donante autólogo, células madre
Z52018*1*Autologous donor, other blood*Donante autólogo, otra sangre
Z5209*0*Other blood donor*Otro donante de sangre
Z52090*1*Other blood donor, whole blood*Otro donante de sangre, sangre completa
Z52091*1*Other blood donor, stem cells*Otro donante de sangre, células madre
Z52098*1*Other blood donor, other blood*Otro donante de sangre, otra sangre
Z521*0*Skin donor*Donante de piel
Z5210*1*Skin donor, unspecified*Donante de piel, no especificado
Z5211*1*Skin donor, autologous*Donante de piel, autólogo
Z5219*1*Skin donor, other*Donante de piel, otro
Z522*0*Bone donor*Donante de hueso
Z5220*1*Bone donor, unspecified*Donante de hueso, no especificado
Z5221*1*Bone donor, autologous*Donante de hueso, autólogo
Z5229*1*Bone donor, other*Donante de hueso, otro
Z523*1*Bone marrow donor*Donante de médula ósea
Z524*1*Kidney donor*Donante de riñón
Z525*1*Cornea donor*Donante de córnea
Z526*1*Liver donor*Donante de hígado
Z528*0*Donor of other specified organs or tissues*Donante de otros órganos o tejidos especificados
Z5281*0*Egg (Oocyte) donor*Donante de óvulos (ovocitos)
Z52810*1*Egg (Oocyte) donor under age 35, anonymous recipient*Donante de óvulos (ovocitos) menor de 35 años, receptor anónimo
Z52811*1*Egg (Oocyte) donor under age 35, designated recipient*Donante de óvulos (ovocitos) menor de 35 años, destinataria designada
Z52812*1*Egg (Oocyte) donor age 35 and over, anonymous recipient*Donante de óvulos (ovocitos) de 35 años o más, receptor anónimo
Z52813*1*Egg (Oocyte) donor age 35 and over, designated recipient*Donante de óvulos (ovocitos) de 35 años o más, destinataria designada
Z52819*1*Egg (Oocyte) donor, unspecified*Donante de óvulos (ovocitos), no especificado
Z5289*1*Donor of other specified organs or tissues*Donante de otros órganos o tejidos especificados
Z529*1*Donor of unspecified organ or tissue*Donante de órgano o tejido no especificado
Z53*0*Persons encntr hlth serv for spec proc & trtmt, not crd out*Personas que acudan a los servicios de salud para procedimientos y tratamientos específicos, no realizados
Z530*0*Proc/trtmt not carried out because of contraindication*Procedimiento y tratamiento no realizados por contraindicación.
Z5301*1*Proc/trtmt not carried out due to patient smoking*Procedimiento y tratamiento no realizado debido a que el paciente fuma
Z5309*1*Proc/trtmt not carried out because of contraindication*Procedimiento y tratamiento no realizados por otras contraindicaciones
Z531*1*Proc/trtmt not crd out bec pt belief and group pressure*Procedimiento y tratamiento no realizados por decisión del paciente por motivos de creencia y presión del grupo
Z532*0*Proc/trtmt not crd out bec pt decision for oth/unsp reason*Procedimiento y tratamiento no realizados por decisión del paciente por otras razones no especificadas
Z5320*1*Proc/trtmt not crd out bec pt decision for unsp reasons*Procedimiento y tratamiento no realizados por decisión del paciente por motivos no especificados
Z5321*1*Proc/trtmt not crd out d/t pt lv bef seen by hlth care prov*Procedimiento y tratamiento no realizado debido a que el paciente se fue antes de ser visto por el proveedor de atención médica.
Z5329*1*Proc/trtmt not crd out bec pt decision for oth reasons*Procedimiento y tratamiento no realizados por decisión del paciente por otros motivos
Z533*0*Procedure converted to open procedure*Procedimiento convertido a procedimiento abierto
Z5331*1*Laparoscopic surgical procedure converted to open procedure*Procedimiento quirúrgico laparoscópico convertido en procedimiento abierto
Z5332*1*Thoracoscopic surgical procedure converted to open procedure*Procedimiento quirúrgico toracoscópico convertido en procedimiento abierto
Z5333*1*Arthroscopic surgical procedure converted to open procedure*Procedimiento quirúrgico artroscópico convertido en procedimiento abierto
Z5339*1*Other specified procedure converted to open procedure*Otro procedimiento especificado convertido a procedimiento abierto
Z538*1*Procedure and treatment not carried out for other reasons*Procedimiento y tratamiento no realizado por otros motivos
Z539*1*Procedure and treatment not carried out, unspecified reason*Procedimiento y tratamiento no realizado, motivo no especificado
Z55*0*Problems related to education and literacy*Problemas relacionados con la educación y la alfabetización
Z550*1*Illiteracy and low-level literacy*Analfabetismo y alfabetización de bajo nivel
Z551*1*Schooling unavailable and unattainable*Escolaridad no disponible e inalcanzable
Z553*1*Underachievement in school*Bajo rendimiento escolar
Z554*1*Educational maladjustment & discord w teachers & classmates*Desajuste educativo y discordia con profesores y compañeros
Z558*1*Other problems related to education and literacy*Otros problemas relacionados con la educación y la alfabetización
Z559*1*Problems related to education and literacy, unspecified*Problemas relacionados con la educación y la alfabetización, no especificados
Z56*0*Problems related to employment and unemployment*Problemas relacionados con el empleo y el desempleo
Z560*1*Unemployment, unspecified*Desempleo, no especificado
Z561*1*Change of job*Cambio de trabajo
Z562*1*Threat of job loss*Amenaza de pérdida de empleo
Z563*1*Stressful work schedule*Horario de trabajo estresante
Z564*1*Discord with boss and workmates*Discordia con jefe y compañeros de trabajo
Z565*1*Uncongenial work environment*Entorno de trabajo poco agradable
Z566*1*Other physical and mental strain related to work*Otras tensiones físicas y mentales relacionadas con el trabajo
Z568*0*Other problems related to employment*Otros problemas relacionados con el empleo
Z5681*1*Sexual harassment on the job*Acoso sexual en el trabajo
Z5682*1*Military deployment status*Estado de despliegue militar
Z5689*1*Other problems related to employment*Otros problemas relacionados con el empleo
Z569*1*Unspecified problems related to employment*Problemas no especificados relacionados con el empleo
Z57*0*Occupational exposure to risk factors*Exposición ocupacional a factores de riesgo
Z570*1*Occupational exposure to noise*Exposición ocupacional al ruido
Z571*1*Occupational exposure to radiation*Exposición ocupacional a la radiación
Z572*1*Occupational exposure to dust*Exposición ocupacional al polvo
Z573*0*Occupational exposure to other air contaminants*Exposición ocupacional a otros contaminantes del aire
Z5731*1*Occupational exposure to environmental tobacco smoke*Exposición ocupacional al humo de tabaco ambiental
Z5739*1*Occupational exposure to other air contaminants*Exposición ocupacional a otros contaminantes del aire
Z574*1*Occupational exposure to toxic agents in agriculture*Exposición ocupacional a agentes tóxicos en la agricultura
Z575*1*Occupational exposure to toxic agents in other industries*Exposición ocupacional a agentes tóxicos en otras industrias
Z576*1*Occupational exposure to extreme temperature*Exposición ocupacional a temperaturas extremas
Z577*1*Occupational exposure to vibration*Exposición ocupacional a vibraciones
Z578*1*Occupational exposure to other risk factors*Exposición ocupacional a otros factores de riesgo
Z579*1*Occupational exposure to unspecified risk factor*Exposición ocupacional a factor de riesgo no especificado
Z59*0*Problems related to housing and economic circumstances*Problemas relacionados con la vivienda y las circunstancias económicas
Z590*1*Homelessness*Desamparo
Z591*1*Inadequate housing*Vivienda inadecuada
Z592*1*Discord with neighbors, lodgers and landlord*Discordia con vecinos, inquilinos y terratenientes
Z593*1*Problems related to living in residential institution*Problemas relacionados con vivir en una institución residencial
Z594*1*Lack of adequate food and safe drinking water*Falta de alimentos adecuados y agua potable segura.
Z595*1*Extreme poverty*Pobreza extrema
Z596*1*Low income*De bajos ingresos
Z597*1*Insufficient social insurance and welfare support*Seguro social y apoyo social insuficientes
Z598*1*Other problems related to housing and economic circumstances*Otros problemas relacionados con la vivienda y las circunstancias económicas
Z599*1*Problem related to housing and economic circumstances, unsp*Problema relacionado con la vivienda y las circunstancias económicas, no especificado
Z60*0*Problems related to social environment*Problemas relacionados con el entorno social
Z600*1*Problems of adjustment to life-cycle transitions*Problemas de adaptación a las transiciones del ciclo de vida
Z602*1*Problems related to living alone*Problemas relacionados con vivir solo
Z603*1*Acculturation difficulty*Dificultad de aculturación
Z604*1*Social exclusion and rejection*Exclusión y rechazo social
Z605*1*Target of (perceived) adverse discrimination and persecution*Objetivo de discriminación adversa (percibida) y persecución
Z608*1*Other problems related to social environment*Otros problemas relacionados con el entorno social
Z609*1*Problem related to social environment, unspecified*Problema relacionado con el entorno social, no especificado
Z62*0*Problems related to upbringing*Problemas relacionados con la crianza
Z620*1*Inadequate parental supervision and control*Supervisión y control parental inadecuado
Z621*1*Parental overprotection*Sobreprotección de los padres
Z622*0*Upbringing away from parents*Crianza lejos de los padres
Z6221*1*Child in welfare custody*Niño bajo custodia social
Z6222*1*Institutional upbringing*Crianza institucional
Z6229*1*Other upbringing away from parents*Otra crianza lejos de los padres
